study,domain,sub_domain,source,table_name,name,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__curl_004,"Curling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__curl_005,"Curling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cycle_002,Cycling: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cycle_002__l,Cycling: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cycle_004,"Cycling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cycle_005,"Cycling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_002,"Ballet, Dance: About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_002__l,"Ballet, Dance: About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_004,"Ballet, Dance: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__dance_004__l,"Ballet, Dance: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
